ASV	HOUSE-01	HOUSE-02	HOUSE-03	HOUSE-04	HOUSE-05	HOUSE-06	HOUSE-07	HOUSE-08	HOUSE-09	HOUSE-10	HOUSE-11	HOUSE-12	HOUSE-13	HOUSE-14	HOUSE-15	HOUSE-16	HOUSE-17	HOUSE-18	HOUSE-19	HOUSE-20	HOUSE-21	HOUSE-22	HOUSE-23	HOUSE-24	HOUSE-25	HOUSE-26	HOUSE-27	HOUSE-28	HOUSE-29	HOUSE-30	HOUSE-31	HOUSE-32	HOUSE-33	HOUSE-34	HOUSE-35	HOUSE-36	HOUSE-37	HOUSE-38	HOUSE-39	HOUSE-40	HOUSE-41	HOUSE-42	HOUSE-43	HOUSE-44	HOUSE-45	HOUSE-46	HOUSE-47	HOUSE-48	HOUSE-49	HOUSE-50	HOUSE-51	HOUSE-52	Radis-F1	Radis-F2	Radis-F3	Radis-F4	Radis-T1	Radis-T2	Radis-T3	Radis-T4	SynCom-Radis-1	SynCom-Radis-2	SynCom-Radis-3	TnegEXT-P01-A01	TnegEXT-P01-E12	TnegEXT-P01-F12	TnegEXT-P02-A01	TnegEXT-P02-F07	TnegPCR-P01	TnegPCR-P02	TposPCR-P01	TposPCR-P02	V1S1-D1	V1S1-D2	V1S1-D3	V1S1-P	V1S1-T1	V1S1-T2	V1S1-T3	V1S2-P	V1S2-T1	V1S2-T2	V1S2-T3	V2S1-D1	V2S1-D2	V2S1-D3	V2S1-P	V2S1-T1	V2S1-T2	V2S1-T3	V2S2-P	V2S2-T1	V2S2-T2	V2S2-T3	V3S1-D1	V3S1-D2	V3S1-D3	V3S1-P	V3S1-T1	V3S1-T2	V3S1-T3	V3S2-P	V3S2-T1	V3S2-T2	V3S2-T3	V4S1-D1	V4S1-D2	V4S1-D3	V4S1-P	V4S1-T1	V4S1-T2	V4S1-T3	V4S2-P	V4S2-T1	V4S2-T2	V4S2-T3	V5S1-D1	V5S1-D2	V5S1-D3	V5S1-P	V5S1-T1	V5S1-T2	V5S1-T3	V5S2-P	V5S2-T1	V5S2-T2	V5S2-T3	V6S1-D1	V6S1-D2	V6S1-D3	V6S1-P	V6S1-T1	V6S1-T2	V6S1-T3	V6S2-P	V6S2-T1	V6S2-T2	V6S2-T3	V7S1-D1	V7S1-D2	V7S1-D3	V7S1-P	V7S1-T1	V7S1-T2	V7S1-T3	V7S2-P	V7S2-T1	V7S2-T2	V7S2-T3	V8S1-D1	V8S1-D2	V8S1-D3	V8S1-P	V8S1-T1	V8S1-T2	V8S1-T3	V8S2-P	V8S2-T1	V8S2-T2	V8S2-T3
c4dbd8562b5f10fd2abb47f0a3627823	0	0	0	0	0	100	117	0	105	0	0	42	617	212	0	0	62	0	0	60	55	0	0	0	128	66	0	0	0	0	34	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4082	124	0	1903	2421	0	0	0	0	0	617	35	0	92	0	17	0	0	0	56	0	0	9	0	0	0	0	0	0	0	1473	1119	194	0	0	0	0	0	0	0	0	38	0	0	33	0	0	0	155	41	0	124	1754	38	0	5425	15	13	0	7458	7	0	19	627	30	335	416	18	0	4	4019	0	0	0	383	619	1235	0	0	0	0	980	0	0	0	2093	2149	313	598	42	0	58	2589	0	0	6
f057f06bc9e6d8b7bdbfd35f334e3f69	926	0	293	272	216	641	373	99	0	326	251	343	154	80	233	91	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	3266	7803	14074	783	628	1632	4990	2156	381	3356	128	0	0	0	0	202	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd2d7af2b229d1a4cb1ff66d137e3174	0	0	0	0	0	0	0	79	50	46	0	0	177	0	0	76	69	59	0	0	62	0	0	0	148	0	0	0	24	0	100	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1861	1600	0	3535	3394	0	0	0	0	77	778	0	0	0	0	0	0	0	0	100	0	108	0	0	0	0	0	0	5	0	1432	2582	1138	79	11	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	30	1006	0	117	781	0	0	0	1227	0	0	0	0	0	20	79	0	0	0	426	0	0	0	923	599	775	15	0	0	0	6839	0	0	0	1291	156	506	536	52	0	69	2321	0	0	0
0dc788367c04f7e669c9e2adfade92d8	798	42	1160	1551	2908	1915	2284	738	16	290	1105	1701	453	1280	2757	2214	734	976	775	1242	990	643	660	273	469	1397	142	899	323	128	894	709	88	0	5	0	273	8	0	12	0	117	7	0	0	0	6	148	0	8	0	91	0	0	0	0	212	100	202	141	0	0	0	0	14	0	0	0	0	0	0	0	0	12	0	0	5	0	5	3	0	10	6	11	0	0	0	0	18	0	0	0	16	15	51	0	0	23	58	0	24	0	51	36	10	0	0	0	0	0	0	0	0	0	27	0	48	61	0	0	0	11	0	0	0	38	0	14	17	0	0	0	0	0	0	0	40	23	311	0	56	0	0	0	0	43	0	21	0	0	196	17	0	34	63	30	20	7	0	0
39e2a4c2eaa5a0acecf79fe777dd26ec	236	164	397	304	454	2053	935	1750	62	2073	718	1101	438	70	1383	968	0	13	118	255	492	467	198	122	0	261	466	86	51	0	218	12	0	47	48	2919	114	489	166	164	325	657	880	1646	225	439	988	230	0	73	364	226	131	16	72	118	317	216	233	243	21	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	108	69	23	0	38	58	36	0	0	0	0	24	63	44	0	23	44	43	0	126	0	0	540	127	264	0	81	59	52	0	0	0	0	21	118	30	0	15	184	63	0	0	0	0	86	235	23	0	42	64	24	0	0	0	3	112	69	47	0	34	77	41	0	0	0	0	29	24	33	0	14	90	19	0	0	0	0	360	383	441	0	84	76	38
0ae7db0222829da45a7911524733b063	111	23	61	4	0	114	410	0	92	0	64	0	0	39	88	0	91	0	0	0	58	0	0	0	188	0	11	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	2049	413	381	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1638	1671	929	171	0	38	13	15	0	0	0	0	138	0	0	0	0	0	0	0	0	38	567	0	535	817	0	0	0	1266	0	0	0	1511	0	0	85	0	0	0	643	0	0	0	507	246	294	0	0	0	0	2394	0	0	0	723	2607	1166	250	0	47	0	1216	14	0	0
61a6ddcbf69ca9fea376a977d1ab8f9f	205	0	150	36	0	223	0	103	12	0	53	173	65	68	159	47	31	7	22	20	0	88	60	17	0	98	113	119	0	0	62	36	106	0	14	32	0	271	97	151	132	665	530	864	888	610	1145	110	0	28	102	838	0	0	0	0	161	68	41	0	24	14	10	0	84	0	0	0	0	0	0	0	0	0	39	0	48	40	13	11	243	826	860	0	0	15	0	0	41	46	0	143	100	459	83	0	98	0	96	20	53	17	134	171	171	7	0	0	21	321	29	0	20	116	577	113	133	0	0	16	16	36	20	0	301	258	78	156	22	209	0	0	0	111	323	2723	1012	1711	107	131	102	0	30	40	36	0	22	641	49	0	65	145	0	78	84	60	0	334	312	490
5b438db4d48237ec1f0c146017cc422d	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13071	9233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c16a14acd94812f4fcb30e7ce06baa3	1418	39	79	12	14	457	446	58	391	166	76	64	512	223	207	96	220	109	15	52	202	0	16	102	203	84	79	156	6	0	79	20	31	0	0	0	0	239	0	12	14	56	15	0	0	0	0	0	0	0	0	0	0	0	0	0	64	37	34	38	0	0	0	3346	751	417	850	382	0	0	0	0	131	41	379	0	0	0	0	0	0	0	0	129	145	0	0	0	0	0	0	0	0	0	482	1356	359	0	0	3	0	0	0	0	0	125	61	111	0	0	0	0	0	19	0	28	504	514	402	0	0	7	0	29	4	0	0	304	90	735	28	0	9	0	11	6	0	4	419	978	413	0	0	0	0	0	0	0	0	599	1000	809	0	19	24	0	3	0	9	4
a84663945294b0e80f6e0a0a14c0a2a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
